lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,precip_trend,ID slope,ID slope p,obs,ID_var
WRS336,MISSION LAKE,63.33333333,1.801632346,-90.71666667,49.06711053,1.690790484,7,0.84509804,0.19,-0.721246399,6,0.77815125,-0.021010101,0.586851667,0.267857143,0.506335268,17,114.0955882
WRS339,MOUNT HYDE LAKE,53.55849212,1.728828341,-64.13092801,75.65284919,1.878825289,418,2.621176282,4.59,0.661812686,4.4,0.643452676,0.090486109,-0.410164118,-0.333333333,0.303901599,21,122.3571429
WRS344,NITCHEQUON LAKE,53.11639696,1.725228608,-71.03903892,68.74473828,1.837239463,527,2.721810615,282.47,2.45097233,10.9,1.037426498,0.000988529,0.515120326,-0.134848485,0.661081069,32,97.93548387
WRS346,NYM LAKE,48.69312627,1.687467659,-91.46938891,48.31438829,1.684076485,425,2.62838893,18.37,1.264109156,6.3,0.799340549,0.029722222,0.273625789,-0.5,0.193766224,22,95.04761905
WRS350,ONE EYE LAKE,51.96925686,1.715746507,-124.9019824,14.8817948,1.172655312,901,2.954724791,4.81,0.682145076,10.2,1.008600172,0.064777776,-0.07680625,-1.145833333,0.448528752,12,177.6969697
WRS351,PELICAN LAKE,50.07973451,1.699662018,-91.93946441,47.84431279,1.679830321,355,2.550228353,47.28,1.674677468,13.6,1.133538908,0.02031362,-0.049416606,-0.054411765,0.713654672,37,122.8543544
WRS352,PICKLE LAKE,51.45,1.711385379,-90.21666667,49.56711053,1.695193603,353,2.547774705,11,1.041392685,7,0.84509804,0.031785714,-0.074378824,-0.153846154,0.614779069,23,91.7944664
WRS353,PICNIC LAKE,48.60990537,1.686724776,-85.26819437,54.51558283,1.73652066,368,2.565847819,2.11,0.324282455,5.1,0.707570176,0.049107142,-1.423412232,-2.55,0.149860748,12,179.9015152
WRS356,PLATEAU LAKE,48.73952642,1.687881305,-91.47768019,48.30609701,1.684001949,433,2.636487896,6.75,0.829303773,4.8,0.681241237,-0.001785714,0.480741111,-0.5,0.048124492,18,58.83986928
WRS361,PRIMROSE LAKE,54.90246038,1.739591807,-109.7358464,30.0479308,1.47781457,595,2.774516966,436.35,2.63983498,9.8,0.991226076,0.046228069,-0.273594706,-0.545454545,0.13372993,26,141.8215385
WRS363,RAMSEY LAKE,46.47342183,1.667204651,-80.93212519,58.85165201,1.769758658,246,2.390935107,7.99,0.902546779,8.8,0.944482672,-0.011991071,0.240596408,0.33908046,0.04241358,40,110.9942308
WRS370,RICE LAKE,51.03333333,1.707853936,-95.66666667,44.11711053,1.64460706,250,2.397940009,4,0.602059991,7,0.84509804,-0.014861111,-0.024445385,-0.211111111,0.821535654,16,93.4625
WRS376,SETTING LAKE,54.98551505,1.740248297,-98.63624467,41.14753253,1.614343797,222,2.346352974,126.02,2.100439475,13.7,1.136720567,0.006064814,0.462955909,-0.732142857,0.190517972,12,66.45454545
WRS383,STEEP ROCK LAKE,48.79564581,1.68838107,-91.67027399,48.11350321,1.68226698,389,2.589949601,6.28,0.797959644,10.4,1.017033339,0.016857639,-0.309591667,-0.5,0.226033463,21,66.33333333
WRS385,STUART LAKE,54.56183789,1.736888991,-124.590852,15.1929252,1.1816414,678,2.831229694,357.88,2.553737429,66.4,1.822168079,0.037239582,-0.5699075,1.266666667,0.40947829,12,316.8787879
WRS391,TESLIN LAKE,59.97152733,1.777945109,-132.3988715,7.3849057,0.868344954,683,2.834420704,355.58,2.550937326,69.7,1.843232778,-0.009601852,0.154851288,-0.434285714,0.223489519,32,293.1925403
WRS393,TOOKENAY LAKE,48.63530803,1.686951671,-85.22399329,54.55978391,1.736872642,406,2.608526034,3.18,0.50242712,11,1.041392685,-0.0784623,-0.304684,-0.75,0.271240886,13,99.76923077
WRS425,UPPER TWIN LAKE AND LOWER TWIN LAKE,50.18333333,1.700559505,-86.7,53.0837772,1.724961818,298,2.474216264,11,1.041392685,6,0.77815125,0.01297619,-0.1141675,0.833333333,0.37109337,10,129.5111111
WRS428,WASCANA LAKE,50.42886556,1.702679198,-104.6085984,35.1751788,1.546236314,570,2.755874856,1.17,0.068185862,2.4,0.380211242,0.003121626,-0.007717399,0.320512821,0.513875518,28,231.5595238
WRS430,WATSON LAKE,60.11666667,1.778994892,-128.8166667,10.9671105,1.040092219,673,2.828015064,15,1.176091259,12,1.079181246,0.038893228,-0.002914348,-0.4,0.015975721,37,98.02702703
WRS433,WHITE WATER LAKE,46.53295903,1.66776067,-81.12682412,58.65695308,1.7683195,263,2.419955748,9.48,0.976808337,6.4,0.806179974,0.033935184,-0.898055,0.111111111,0.725369364,19,86.42690058
WRS434,WILLIAMS LAKE,52.18333333,1.717531817,-122.05,17.7337772,1.248801248,564,2.751279104,7,0.84509804,19,1.278753601,0.023388888,0.381666667,0.125,0.910029315,22,258.8225108
WRS437,YORK LAKE,51.15280747,1.708869475,-102.4703403,37.3134369,1.571865253,508,2.705863712,3.14,0.496929648,1.9,0.278753601,0.034919354,-0.0175,0.178571429,0.371374714,38,188.0206259
