lake,year_ice_off,value,metric
LAKE PAIJANNE (1463),1998,0.0935438,ID
LAKE PAIJANNE (1463),1999,-0.285408105,ID
LAKE PAIJANNE (1463),2000,-0.826767968,ID
LANGELMAVESI - KAIVANTO (3506),1950,-0.664360009,ID
LANGELMAVESI - KAIVANTO (3506),1951,-0.556088036,ID
LANGELMAVESI - KAIVANTO (3506),1952,-0.041796166,ID
LANGELMAVESI - KAIVANTO (3506),1953,0.634903664,ID
LANGELMAVESI - KAIVANTO (3506),1954,-0.258340111,ID
LANGELMAVESI - KAIVANTO (3506),1955,-0.285408105,ID
LANGELMAVESI - KAIVANTO (3506),1956,0.526631691,ID
LANGELMAVESI - KAIVANTO (3506),1957,0.932651589,ID
LANGELMAVESI - KAIVANTO (3506),1958,0.472495704,ID
LANGELMAVESI - KAIVANTO (3506),1959,-0.123000145,ID
LANGELMAVESI - KAIVANTO (3506),1960,0.228883766,ID
LANGELMAVESI - KAIVANTO (3506),1961,0.364223732,ID
LANGELMAVESI - KAIVANTO (3506),1962,-0.123000145,ID
LANGELMAVESI - KAIVANTO (3506),1963,0.255951759,ID
LANGELMAVESI - KAIVANTO (3506),1964,0.526631691,ID
LANGELMAVESI - KAIVANTO (3506),1965,0.228883766,ID
LANGELMAVESI - KAIVANTO (3506),1966,0.851447609,ID
LANGELMAVESI - KAIVANTO (3506),1967,-0.285408105,ID
LANGELMAVESI - KAIVANTO (3506),1968,-0.231272118,ID
LANGELMAVESI - KAIVANTO (3506),1969,0.878515602,ID
LANGELMAVESI - KAIVANTO (3506),1970,0.472495704,ID
LANGELMAVESI - KAIVANTO (3506),1971,0.283019752,ID
LANGELMAVESI - KAIVANTO (3506),1972,0.68903965,ID
LANGELMAVESI - KAIVANTO (3506),1973,-0.610224023,ID
LANGELMAVESI - KAIVANTO (3506),1974,0.716107643,ID
LANGELMAVESI - KAIVANTO (3506),1975,-0.772631982,ID
LANGELMAVESI - KAIVANTO (3506),1976,0.147679786,ID
LANGELMAVESI - KAIVANTO (3506),1977,-0.258340111,ID
LANGELMAVESI - KAIVANTO (3506),1978,-0.258340111,ID
LANGELMAVESI - KAIVANTO (3506),1979,0.17474778,ID
LANGELMAVESI - KAIVANTO (3506),1980,-0.150068139,ID
LANGELMAVESI - KAIVANTO (3506),1981,0.68903965,ID
LANGELMAVESI - KAIVANTO (3506),1982,-0.095932152,ID
LANGELMAVESI - KAIVANTO (3506),1983,-0.204204125,ID
LANGELMAVESI - KAIVANTO (3506),1984,0.391291725,ID
LANGELMAVESI - KAIVANTO (3506),1985,0.039407814,ID
LANGELMAVESI - KAIVANTO (3506),1986,0.472495704,ID
LANGELMAVESI - KAIVANTO (3506),1987,-0.258340111,ID
LANGELMAVESI - KAIVANTO (3506),1988,0.445427711,ID
LANGELMAVESI - KAIVANTO (3506),1989,0.066475807,ID
LANGELMAVESI - KAIVANTO (3506),1990,-0.258340111,ID
LANGELMAVESI - KAIVANTO (3506),1991,0.283019752,ID
LANGELMAVESI - KAIVANTO (3506),1992,-0.041796166,ID
LANGELMAVESI - KAIVANTO (3506),1993,0.418359718,ID
LANGELMAVESI - KAIVANTO (3506),1994,0.499563698,ID
LANGELMAVESI - KAIVANTO (3506),1995,0.228883766,ID
LANGELMAVESI - KAIVANTO (3506),1996,0.60783567,ID
LANGELMAVESI - KAIVANTO (3506),1997,-0.123000145,ID
LANGELMAVESI - KAIVANTO (3506),1998,0.147679786,ID
LANGELMAVESI - KAIVANTO (3506),1999,0.255951759,ID
LANGELMAVESI - KAIVANTO (3506),2000,-0.177136132,ID
LESTIJARVI,1950,0.228883766,ID
LESTIJARVI,1951,0.959719582,ID
LESTIJARVI,1952,0.905583595,ID
LESTIJARVI,1953,1.20333152,ID
LESTIJARVI,1954,0.743175636,ID
LESTIJARVI,1955,1.20333152,ID
LESTIJARVI,1956,1.257467507,ID
LESTIJARVI,1957,1.311603493,ID
LESTIJARVI,1958,0.68903965,ID
LESTIJARVI,1959,0.255951759,ID
LESTIJARVI,1960,0.716107643,ID
LESTIJARVI,1961,1.2845355,ID
LESTIJARVI,1962,0.580767677,ID
LESTIJARVI,1963,0.60783567,ID
LESTIJARVI,1964,0.905583595,ID
LESTIJARVI,1965,0.905583595,ID
LESTIJARVI,1966,1.013855568,ID
LESTIJARVI,1967,0.824379616,ID
LESTIJARVI,1968,0.418359718,ID
LESTIJARVI,1969,1.744691384,ID
LESTIJARVI,1970,1.2845355,ID
LESTIJARVI,1971,1.2845355,ID
LESTIJARVI,1972,1.067991554,ID
LESTIJARVI,1973,0.770243629,ID
LESTIJARVI,1974,1.040923561,ID
LESTIJARVI,1975,0.472495704,ID
LESTIJARVI,1976,0.661971657,ID
LESTIJARVI,1977,1.230399514,ID
LESTIJARVI,1978,0.68903965,ID
LESTIJARVI,1979,0.797311623,ID
LESTIJARVI,1980,0.986787575,ID
LESTIJARVI,1981,1.446943459,ID
LESTIJARVI,1982,0.932651589,ID
LESTIJARVI,1983,0.039407814,ID
LESTIJARVI,1984,0.661971657,ID
LESTIJARVI,1985,1.067991554,ID
LESTIJARVI,1986,0.878515602,ID
LESTIJARVI,1987,0.418359718,ID
LESTIJARVI,1988,0.797311623,ID
LESTIJARVI,1989,0.905583595,ID
LESTIJARVI,1990,0.066475807,ID
LESTIJARVI,1991,0.743175636,ID
LESTIJARVI,1992,0.17474778,ID
LESTIJARVI,1993,1.419875466,ID
LESTIJARVI,1994,0.634903664,ID
LESTIJARVI,1995,1.067991554,ID
LESTIJARVI,1996,1.176263527,ID
LESTIJARVI,1997,0.634903664,ID
LESTIJARVI,1998,1.311603493,ID
